1,Did you know you should always take an extra pair of pants golfing?,Just in case you get a hole in one.
2,Why does Waldo only wear stripes?,Because he doesn't want to be spotted.
3,Did you hear about the Mexican train killer?,He had loco motives
4,What did the ocean say to the shore?,"Nothing, it just waved."
5,Whatâ€™s the difference between an African elephant and an Indian elephant?,About 5000 miles.
6,Did you hear about the guy who invented Lifesavers?,They say he made a mint.
7,What is a tornado's favorite game to play?,Twister!
8,How do you make a tissue dance?,You put a little boogie on it.
9,What do I look like?,A JOKE MACHINE!?
10,What kind of bagel can fly?,A plain bagel.
