"id","sortCategory","text","name","image","slug"
"0","1","The only card back you'll ever need.","Classic","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f7d4aa4cdcf78441cc8d0bae954a55a271ad9cedc89c611b8fc0cf0859a8a32f.png","0-classic"
"1","5","Hearthstone is a very popular game in Pandaria. Official card game of the Shado-Pan! Acquired from achieving Rank 20 in Ranked Play, April 2014.","Pandaria","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b2333f26ad0a1c05a784f7dfc3cf088527fe4dbc3cc745db69cc6d809cae481f.png","1-pandaria"
"2","5","""Fel Flame Green"" is always in fashion at the Black Temple. Acquired from achieving Rank 20 in Ranked Play, May 2014.","Black Temple","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1688973e2a8f7de364432bdf779f5cb3df5b73e880b82a13564507033c27030e.png","2-black-temple"
"3","5","Unfortunately, the rainbow generator can only produce oval rainbows. Gnomish technology still has a ways to go. Acquired from achieving Rank 20 in Ranked Play, June 2014.","Rainbow!","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0b0c51a191761a7cab6e9f8a14d1ba73b59769433deb05b4b03fa58e1ece9d1b.png","3-rainbow"
"4","2","A generous gift from the Innkeeper. He loves to see his guests having a good time together. Play three matches against players at a Fireside Gathering.","Fireside","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/04a1f1d5ec480f9bd1b4405f919937d89a07ba68849a6a36eadfccaccc1badd6.png","4-fireside"
"5","6","Wow. Hardcore. Acquired from achieving Legend Rank in Ranked Play.","Legend","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d63c61999d96d5274157b6773b9d5df268db1f45e1fec83b1fa4cd8692364674.png","5-legend"
"6","5","The gooey center is Ooze slime. Don't lick it. Acquired from achieving Rank 20 in Ranked Play, July 2014, or when available in the shop.","Naxxramas","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3aa1f98339981c49174a60455887627fa41f6b9795eb0279df24616e9d2260ff.png","6-naxxramas"
"7","3","You can tell a lot about an Abomination by his stitching. This one just screams ""insane"". Literally. Acquired from completing the Curse of Naxxramas in Heroic mode.","Heroic Naxxramas","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b014125a707fa8bd1e53d701b2d58b55d05932c1930836b8884ad5ce5ad21a73.png","7-heroic-naxxramas"
"8","5","In the frozen heart of Icecrown Citadel, a hero's mettle will be tested. Bring a parka. Acquired from achieving Rank 20 in Ranked Play, August 2014.","Icecrown","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/68ccba4348dffb19f3ca71b5b92c0214bc8899b3e32c466d19840f4feb7d782e.png","8-icecrown"
"9","5","Treasure. Grog. Hooks for hands. Way better than Ninjas! Acquired from achieving Rank 20 in Ranked Play, September 2014.","Pirates!","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0904b701d72dcc801f7b4a4d5795ce04d71c65efd0b374d31bbb3c7336ca7620.png","9-pirates"
"10","5","The Hallow's End candy bucket! Or the Headless Horseman's spare head! Stick your hand in and find out. Acquired from achieving Rank 20 in Ranked Play, October 2014 or when available in the shop.","Hallow's End","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1e5194573b178167fb27831b1c03038d3ba826363e125d1513a4e8a1e3c1bc59.png","10-hallows-end"
"11","5","4 out of 5 goblins agree: This card back doesn't explode! Acquired from achieving Rank 20 in Ranked Play, November 2014.","Goblins","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/48e341b0c49b463be35521135b2dddf3e48b1b9cb99036a145d407b555cd8460.png","11-goblins"
"12","11","The year Hearthstone was born. What a great year! Acquired by participating in Blizzard events during 2014.","Blizzard 2014","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9fd2015c86704a0fbb02b7743595acc9539d0a07fe21abc16415dea7cbb3f191.png","12-blizzard-2014"
"13","7","Mascot of Dalaran University. Rarely seen, because no one ever shows up to football games there. Acquired by participating in TeSPA or other college affiliate program.","Dalaran Flame","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7f59a1483d40404716db200321e3cc04c418018f7953f0cebe87457162d21a0d.png","13-dalaran-flame"
"14","8","When they aren't plotting to kill everyone and take over the world, even the Iron Horde enjoy a game of Hearthstone. Acquired from Warlords of Draenor Digital Deluxe Edition.","Warlords","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ada3e664203f927c17bc828ba5311da7bb08f3c40a6b3628980c0f1d23eb4a9c.png","14-warlords"
"15","5","This multifunctional device also works as a gnomish army knife, a shoe horn and a pass to the Deeprun Tram. Gnomish ingenuity! Acquired from achieving Rank 20 in Ranked Play, December 2014.","Gnomes","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bf3ddb64100e1bc350d836b61a1fc3b299404309075a106aac97167121923b9e.png","15-gnomes"
"16","5","Vindicator Maraad was a paladin of great courage and strength. Don't let the pretty pastel tones fool you. Acquired from achieving Rank 20 in Ranked Play, January 2015.","Maraad","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ae9fe9e0b8dd5daffa9e7b5350a5f51fa7401e2e7215e4d3a44c05fe135f7140.png","16-maraad"
"17","5","Happy New Year! Acquired from achieving Rank 20 in Ranked Play, February 2015 or when available in the shop.","Lunar New Year","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/26cd96725b1d35b41a3fd139dfee947fefcfb318f78db5bf32a9ffd9557a7b63.png","17-lunar-new-year"
"18","10","The Molten Core of Azeroth and not a chocolate lava cake, unfortunately. Was acquired from pre-purchase of Blackrock Mountain.","Molten Core","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0b9bb1915204c551b7b7b603971cf15cdbae474ee64230367cb3aaf15ee6e246.png","18-molten-core"
"19","5","The Firelord is most often seen relaxing in his hot tub, even when he's trying to burn down the world. Acquired from achieving Rank 20 in Ranked Play, March 2015 or participating in Fire Festival 2019.","Ragnaros","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d7a0e857b88b946bc213d4c0c42c5e5c90f1c89206feb4751d5e9845eb11f9be.png","19-ragnaros"
"20","12","Solid gold, baby. Acquired with a high level finish in approved eSports events.","Golden Celebration","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/24450ab0c6a1f8061928a44c37439d08d4bd57dcdaf56b66d64fdebb96c8c9b0.png","20-golden-celebration"
"21","3","You didn't actually believe someone named ""Lord Victor Nefarious"" wasn't up to anything nefarious, did you? Acquired from completing Blackrock Mountain in Heroic mode.","Nefarian","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ab9fd6224b094d81f34ae20961fc3982426227f410d938bb2533d98249421554.png","21-nefarian"
"22","5","""Is that a cupcake on a cake?"""" you ask? Yes. Yes it is. Acquired from achieving Rank 20 in Ranked Play, April 2015 or when available in the shop.","Cupcake","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b22ec83b34d7007d6eda88e179c8f8ebefc006c0b766bf1b9b5896d16891e112.png","22-cupcake"
"23","5","Stealth. Style. Shurikens. Way better than Pirates! Acquired from achieving Rank 20 in Ranked Play, May 2015.","Ninjas!","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b4874c185662eeca2cb1865300bc1f808f6666d2de166fa7669f38d5cbbce00d.png","23-ninjas"
"24","8","This arrived for you from the Nexus. Might want to watch out for those whirling blade thingies. Acquired from reaching Player Level 15 in the Blizzard game Heroes of the Storm.","Heroes of the Storm","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ecdbe78a14c881f172d1a1c40607071f0fca264706522b9b480ee26024d65198.png","24-heroes-of-the-storm"
"25","4","When she wants to shoot an apple on your head, you don't have to worry. Unless you're an orc. Acquired from purchasing the Hero Alleria Windrunner.","Alleria","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e9a73c87265f634335a52580bee918fc1217d44d93e2a33b10281fe8348aa465.png","25-alleria"
"26","4","As the eldest of the three Bronzebeard brothers, Magni always got the coolest toys. He always shared, though! Acquired from purchasing the Hero Magni Bronzebeard.","Magni","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e6c6bf383f688a1079c8b833901c147d5a6baa3c9d287628df0fbdbcfcde011d.png","26-magni"
"27","4","He certainly has a thing for crows and ravens. Acquired from purchasing the Hero Medivh.","Medivh","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/002f05d2e99ea4c69696ae94c3d0c2e6f388d8308f831d746c98fb4ea092389c.png","27-medivh"
"28","5","Nestled in the boughs of a giant tree, Darnassus is the capital city of the night elves. Also home of the world famous Darnassus Kimchi Pie! Acquired from achieving Rank 20 in Ranked Play, June 2015.","Darnassus","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/75b0a2d39a57b8ce20bd19e059f36978dc70291f22fcff06124f4524a35b3eb2.png","28-darnassus"
"29","9","Gifts from the Galaxy! This card back is truly out of this world. Awarded through the Samsung Galaxy promotion!","Samsung Galaxy","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/350fdc13e8bbb61acb35d709ce6cfffc0aaf9c6d289ce4141bf006f454d3e859.png","29-samsung-galaxy"
"30","5","Vol'jin's tribe, the Darkspear trolls, no longer practices cannibalism. Officially. Acquired from achieving Rank 20 in Ranked Play, July 2015.","Darkspear","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/3a69badd7fd7d1259a4a117cbb0a5b8045cec9e0d0f249d9cc861ac97f83cdb0.png","30-darkspear"
"31","10","After the fall of the Lich King, it was suggested that we celebrate then go home. Those of us who stayed decided to continue the Tournament with a new mission: FUN! Was acquired from pre-purchase of The Grand Tournament Card Packs.","The Grand Tournament","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1a24bcd66f13e383598d4d5c5f399c8f0f78fb343eef8187b00ae43555f21485.png","31-the-grand-tournament"
"32","5","All over The Grand Tournament's grounds, you can find knights at jousting practice. Poor target dummies. So much senseless hay shed on the path to glory... Acquired from achieving Rank 20 in Ranked Play, August 2015.","Tournament Grounds","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6299b53f021bcec707a2eb04b3fcbce409b43a7ef9c98c6583ee93c07523b119.png","32-tournament-grounds"
"33","7","We can feel the energy in the air. And it's coming from... YOU! Acquired from attending approved eSports events.","Power Core","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/487595ef8be29a09f88b456f22a20279ecb021347232d1e8e3d0e9d6a2f465aa.png","33-power-core"
"34","5","The capital city of the draenei is actually a crash-landed dimensional ship. Despite its wonders and Velen's best efforts, its tourism industry is sluggish due to its remote location (and the man-eating mutant plants). Acquired from achieving Rank 20 in Ranked Play, September 2015.","Exodar","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/eb72b23be0bb60eb15af807ed0392f27cc736f55bb7478dfdc45445dbeda1835.png","34-exodar"
"35","5","5 out of 10 ogres agree: this card back is SMASHING! Acquired from achieving Rank 20 in Ranked Play, October 2015.","Highmaul","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6d2152dba77c84bf588764b4d66e73cc404bc4c691c800de0f0e664f973666e2.png","35-highmaul"
"36","5","A League of Explorers treasure map! Or the Cartographer's grocery list? Let's find out! Acquired from achieving Rank 20 in Ranked Play, November 2015.","Explorer's Map","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d3999b1f49ee0f5fffee7d3c199551b3ab38cd438e6425cc761a13f13b4e3599.png","36-explorers-map"
"37","3","Wait, isn't this staff supposed to be in the museum? RENO!!! Acquired from completing the League of Explorers in Heroic mode.","Staff of Origination","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bec82d0a58533168bcb7af2cc2d339a826946fe7aa76254bbd3d2b7cf59d6c0e.png","37-staff-of-origination"
"38","11","Hearthstone on phones, Tavern Brawls, Blackrock Mountain, The Grand Tournament and more! A very cool year, indeed. Acquired by participating in Blizzard events during 2015.","Blizzard 2015","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c542e263e54174ed1c883590919db91eb6e133096c533986c87b3040e81aecfa.png","38-blizzard-2015"
"39","8","Came with a note. What on Azeroth does ""En Taro Adun"" mean? Acquired from Legacy of the Void Deluxe Edition.","Legacy of the Void","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6f925041a8a34f4f433841f85a75f41b98e87c729954b50148868614e4f4e39b.png","39-legacy-of-the-void"
"40","5","Many believe goblins made up this holiday to sell candy. It's not true! They also sell flowers and perfume! Acquired from achieving Rank 20 in Ranked Play, January 2016 or when available in the shop.","Love Is in the Air","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a71a68b873ecfc28ba59ecff40e81e0d9ed21acb9abc10a711f47a12d4f54671.png","40-love-is-in-the-air"
"41","5","Unofficial slogan: ""Great warriors come from happy Tauren tribes. Happy Tauren come from Thunder Bluff!"" Acquired from achieving Rank 20 in Ranked Play, February 2016 or when available in the shop.","Thunder Bluff","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/66be1acdb5b5bf4cdfea6f7f1296f921a38e81e19478b6886a599f0e0156b00c.png","41-thunder-bluff"
"42","5","The World Shaman is probably THE best known celebrity in Azeroth. It's a mystery that his signature necklace never caught on as a fashion trend. Acquired from achieving Rank 20 in Ranked Play, December 2015 or when available in the shop.","Thrall","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b0e24fca6ac3550335123fe45ce823603758614caab31239a789dd2368db724c.png","42-thrall"
"43","13","A beautiful Winter Veil wreath around a snow globe full of THE FROSTY DESTRUCTION OF YOUR OPPONENTS! I mean... good cheer. Acquired from Winter Veil 2015-2017 or when available in the shop.","Winter Veil Wreath","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0e08af6051163dc21d5c13f572144db9e4041a21d7efcee20505c8949bdeb086.png","43-winter-veil-wreath"
"44","8","The cavalry's here! Acquired from Overwatch Origins or Collector's Edition.","Overwatch","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0ddbae5ccfb80e5f7dd094798f5349b3e0097197e0b602bd886df7ce384e0b39.png","44-overwatch"
"45","10","For an Old God who's stuck in the lightless depths of an ancient temple, C'Thun sure has a lot of eyeballs. Was acquired from pre-purchase of the Whispers of the Old Gods Card Packs or when available in the shop.","Eyes of C'Thun","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a50e24625bf599783036fae755583ab60c665e0de406170573aeabadb5cd9034.png","45-eyes-of-cthun"
"46","5","The Terror of Elwynn, the King of Gnolls. They say he bathes in the tears of young heroes, hence the wet dog smell. Acquired from achieving Rank 20 in Ranked Play, March 2016.","Hogger","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/90e2b4c597409d4487f4e593b1e76f96e695c6d366f615325a14b46ceacff678.png","46-hogger"
"47","5","There are several cults trying to summon the Old God Yogg-Saron, and the competition for cultists is causing salaries to skyrocket. Acquired from achieving Rank 20 in Ranked Play, April 2016 or when available in the shop.","Clutch of Yogg-Saron","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8ed1ed4e37ea72d60c1d11e13a956fdc4e76dfd6e044447a59a8844d81cf711d.png","47-clutch-of-yogg-saron"
"48","5","After Outland became what it is, Shadowmoon Valley has always been full of demonic energy. Gul'dan's favorite spa destination! Acquired from achieving Rank 20 in Ranked Play, May 2016.","Shadowmoon Valley","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c97863b3d891ed966f62a5853b1507c4601f3c0a003b39a78bd38324dcafc5bb.png","48-shadowmoon-valley"
"49","5","Home of the Drakkari ice trolls, Zul'Drak consistently produces the best figure skaters of all the troll tribes. Acquired from achieving Rank 20 in Ranked Play, June 2016.","Zul'Drak","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0978e18bccfa0394f53d9ace4c37664c25806f38b02d6f2199bbcfc6a991e414.png","49-zuldrak"
"50","5","Surrounded by fertile farmland that grows delectable giant produce, Halfhill is the culinary heart of Pandaria. ""Come to Halfhill! Double your weight!"" Acquired from achieving Rank 20 in Ranked Play, November 2016.","Halfhill","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/757b2a3940f5a75cd2b79f2afe353d6ad836df1ede4f571651f56b1491464687.png","50-halfhill"
"53","3","Don't tell Netherspite, but mischievous guests have been getting into all manner of shenanigans with his portals! Acquired from completing One Night in Karazhan in Heroic mode.","The Blue Portal","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f4c3f16f1ae5ea36d5749baea181891e8d5b0b1649d5b9ea293c86175e6484c7.png","53-the-blue-portal"
"54","5","Be sure to pack your picnic basket, towel, and Anti-Murloc Spray. Acquired from achieving Rank 20 in Ranked Play, July 2016.","Tinyfin Beach","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/87b0954db20bb4570d79aa328fcf1e44e69c2b37750fbff8919e782b171fca9e.png","54-tinyfin-beach"
"56","10","Watch your step! Dancing Tauren are notorious for accidentally crushing toes. Acquired by purchasing all wings of One Night in Karazhan within one week of launch.","Karazhan Nights","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d296b72ab5c871ec5e57f39d9dbd3f8f85937927d291fd496780cd28a7bb09c1.png","56-karazhan-nights"
"58","5","You're Invited! Please leave your giant bear with the valet. Acquired from achieving Rank 20 in Ranked Play, August, 2016.","Medivh's Invitation","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/37537ad40317a98efb77562accfbee33fbd7d31db4d6107931eb409a7703cd63.png","58-medivhs-invitation"
"60","4","Every Midsummer's Eve, night elf children gather in the Temple of the Moon for Tyrande's amazing planetarium show, ""By the Light of Elune."" Acquired from a special promotion.","Tyrande","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/43e291be05e41914b2ad8d658c5c15ddee2962776f5eb5d5be585783da71b314.png","60-tyrande"
"61","5","The Burning Legion attempted to invade Azeroth three times in the last 10,000 years. Fourth time's the charm? Acquired from achieving Rank 20 in Ranked Play, September 2016.","Legion","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c0b21f5b7006a815db862cb53d0eff2225e39a963f9eba16a76cd7fcd33af87f.png","61-legion"
"62","5","Pilgrim's Bounty feasters await the arrival of delicious cherry pie. The bakers have only one request: Please eat a piece before the FOOD FIGHT begins! Acquired from achieving Rank 20 in Ranked Play, October 2016.","Pie","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7c2fb6e3b05b46664cd35c9990b2ee4ec188c3f818f5ea971ffea4433758a246.png","62-pie"
"64","11","Pull up a chair by the fireside at BlizzCon's Hearthstone Tavern, then play a few hands with this year's convention-innspired card back. Acquired by participating in Blizzard events during 2016.","Welcome Inn","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5f305cbab2a58a16e7ddebdd327b1db2214860e7cd6bd0ed393828ae6706d491.png","64-welcome-inn"
"65","13","Moo. That's right. You heard me. Acquired from The Dark Wanderer Tavern Brawl, 2017.","Secret Level","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/87bcdc1dca1b6748560b6f1fee6fe697ee08b28b322f9f9420729e8ec9f9ac7b.png","65-secret-level"
"66","5","The Jade Lotus is the newest of the three groups vying for Gadgetzan. They're hip with today's criminal youth. Acquired from achieving Rank 20 in Ranked Play, December 2016.","Jade Lotus","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bef0a436dd9cbd1303a498677f4bbd09d53dd02f078b2bc5801f96859ffa41fb.png","66-jade-lotus"
"67","5","The Grimy Goons once kicked a guy out for tucking a Ragnaros up his sleeve. Acquired from achieving Rank 20 in Ranked Play, January 2017.","Grimy Goons","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9569550e66067e6aadf230f035ba0fec391a37aff801fad84d9a3b6e8cedbc28.png","67-grimy-goons"
"68","5","The Kabal are notorious for potions, treachery, and accidentally blowing themselves up with 10-mana spells. Acquired from achieving Rank 20 in Ranked Play, February 2017.","Kabal","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/05fc4f42639335e965d578031be09a08b78ec28aa85f4b1c8313c9fe7b53b01d.png","68-kabal"
"69","5","RELEASE THE CARDBACK! Acquired from achieving Rank 20 in Ranked Play, March 2017.","Year of the Kraken","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/77dab5c33d85c530504c5e41f85c09ff37a5450fdf69ef331500a35a4b8467d8.png","69-year-of-the-kraken"
"70","10","Recent discoveries from the tar pits of Un'Goro have shed great insight on the evolution of card backs! Was acquired from pre-purchase of Journey to Un'Goro Card Packs.","Fossil","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/23e33a0a79f53d65cbb874d6aeee4608f78ef720c8966ce474a2fcf3b5286210.png","70-fossil"
"71","5","Arthas' corruption of the Sunwell really put a damper on the tourism industry of Quel'Thalas. Acquired from achieving Rank 20 in Ranked Play, May 2017.","Sunwell","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7ccb89038df9a6788eba7b4fba3c286a1f76efedad2cba2a0fdffef728f08382.png","71-sunwell"
"93","5","These long-lost card backs require a machete to shuffle. Acquired from achieving Rank 20 in Ranked Play, April 2017.","Un'goro Mystery","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/50629f3b8642537025a333454eede0a97c19b7a410a81f26f8b98a8048778cbc.png","93-ungoro-mystery"
"94","7","Celebrate the intensity of competition with this, the Hearthstone equivalent of a gigantic foam finger. Acquired from attending approved eSports events.","Thrill of Victory","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/91f278ac7c99e3f16bd0a59cbc348b84a2a35ce45628c61dece21f7bad2c54de.png","94-thrill-of-victory"
"95","5","Deep within the Halls of the Guardian, the most powerful mages of Azeroth forged a magical card back and uttered this arcane incantation: ""Pick a card, any card..."" Acquired from achieving Rank 20 in Ranked Play, June 2017 or when available in the shop.","The Magic of Dalaran","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/de90cb640512a4d3e2468c47984b0cf31692d892353353bb94a5f2c920175e94.png","95-the-magic-of-dalaran"
"96","5","Buoy oh buoy! Is it reely time for fishing puns? We think knot. Acquired from achieving Rank 20 in Ranked Play, November 2017.","Gone Fishin'","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1c762af55c33111178c52376f5c54de780d224fecac086fc06d170fa36130a93.png","96-gone-fishin"
"97","7","A card back unleashed from the realm of infinite darkness. Looks wicked rad under a blacklight. Acquired from a special promotion.","Call of the Void","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a69ea2b7330cc5baefed25d81fe5653049323f3cabcfac069ca97982fc1a2226.png","97-call-of-the-void"
"98","7","A card back called forth from the realm of undying light. Gives hope to all mankind (except your opponent.) Acquired from a special promotion.","Call of the Light","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/44380ad0784513eacbb730bd67d4cab8235d5702f10ce41c49b65adbfe6f1b41.png","98-call-of-the-light"
"99","10","The undealt shuffle among us, raised from the deck for the cold hand of the Lich King. Acquired from the Knights of the Frozen Throne pre-purchase bundle.","Frostmourne","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/134fbe30e31ea5e34a35f4ca68327156c7fea3f4b220009dd1f93b9dfa182eee.png","99-frostmourne"
"101","5","Gather 'round the fire for a toasty treat! (Card back not actually edible.) Acquired from achieving Rank 20 in Ranked Play, July 2017.","HearthS'mores","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/516b39dae2f9299d6256991b929817d9176a9872ad5385d17c00bb85bba5ac7b.png","101-hearthsmores"
"103","5","You provide the sweat and tears, this card back does the rest. Acquired from achieving Rank 20 in Ranked Play, August 2017.\t","Blood Knight","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/96998cd4efc162ce111aaf88b768437378af75290d6bb1c9829317b62625ea29.png","103-blood-knight"
"106","5","A card back so powerful it allows you to walk on water! (If frozen.) Acquired from achieving Rank 20 in Ranked Play, September 2017.","Frost Knight","https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6ffdf8626628e35a991f5287a1ace9f7fe83fede0206f6a556276c5bb716f43f.png","106-frost-knight"
